time_in_seconds;cap_sensor;licht;temperatur
2092;1739.853515625000;846.153869628906;984.761962890625
2110;1746.300415039062;845.348022460938;994.432250976562
2127;1725.348022460938;846.153869628906;995.238159179688
2145;1743.882934570312;848.571472167969;990.402954101562
2163;1738.241821289062;847.765625000000;991.208801269531
2180;1730.989135742188;846.153869628906;993.626403808594
2198;1735.018432617188;846.153869628906;985.567810058594
2216;1739.047729492188;844.542175292969;992.014709472656
2233;1728.571533203125;843.736328125000;988.791259765625
2251;1722.124633789062;843.736328125000;987.985412597656
2269;1734.212524414062;843.736328125000;999.267456054688
2286;1738.241821289062;842.930480957031;988.791259765625
2304;1726.153930664062;834.065979003906;984.761962890625
2322;1733.406738281250;826.813232421875;983.150207519531
2339;1720.512939453125;831.648376464844;981.538513183594
2357;1704.395751953125;829.230834960938;985.567810058594
2375;1721.318725585938;827.619079589844;984.761962890625
2392;1745.494628906250;834.871826171875;989.597106933594
2410;1733.406738281250;830.842529296875;992.014709472656
2428;1732.600830078125;836.483581542969;983.150207519531
2445;1733.406738281250;838.095275878906;975.091613769531
2463;1713.260131835938;835.677734375000;996.849853515625
2481;1739.853515625000;834.871826171875;997.655700683594
2498;1736.630126953125;1983.223510742188;989.597106933594
2516;1744.688720703125;1982.417602539062;994.432250976562
2534;1746.300415039062;2324.908447265625;992.014709472656
2551;1737.436035156250;2321.685058593750;992.820556640625
2569;1745.494628906250;2325.714355468750;991.208801269531
2587;1734.212524414062;2327.326171875000;998.461547851562
2604;1726.959838867188;2328.131835937500;995.238159179688
2622;1736.630126953125;2326.520263671875;980.732666015625
2640;1739.853515625000;2328.131835937500;979.926757812500
2657;1735.018432617188;2322.490966796875;987.985412597656
2675;1744.688720703125;2328.131835937500;987.985412597656
2693;1714.871948242188;2323.296875000000;992.014709472656
2710;1730.183227539062;2321.685058593750;992.014709472656
2728;1738.241821289062;2323.296875000000;992.820556640625
2746;1737.436035156250;2320.879150390625;995.238159179688
2763;1734.212524414062;2323.296875000000;992.820556640625
2781;1730.183227539062;2328.131835937500;989.597106933594
2799;1727.765625000000;2329.743652343750;996.044006347656
2816;1747.912231445312;2327.326171875000;989.597106933594
2834;1738.241821289062;2332.161132812500;995.238159179688
2852;1720.512939453125;2328.131835937500;976.703308105469
2869;1722.124633789062;2325.714355468750;994.432250976562
2887;1753.553222656250;2332.161132812500;992.014709472656
2905;1747.912231445312;2333.772949218750;991.208801269531
2922;1732.600830078125;2335.384765625000;998.461547851562
2940;1728.571533203125;2329.743652343750;990.402954101562
2958;1746.300415039062;2334.578857421875;997.655700683594
